number,folder,opalOutput,opalCG,mergeOutput,CGPool,mergeCG
343,com.azure:azure-core-serializer-json-jackson:1.1.0,1,0,1,1,1
344,com.javax0.geci:javageci-jamal:1.6.2,1,1,1,1,1
345,org.apache.tomcat:jakartaee-migration:0.1.0,1,1,0,0,0
346,org.apache.skywalking:skywalking-management-receiver-plugin:8.4.0,1,0,1,1,1
347,org.eclipse.xtext:org.eclipse.xtext.xbase.ui:2.9.0.rc2,1,0,1,1,1
348,com.threatconnect.app:services-core:2.12.2,1,1,1,1,1
349,org.tools4j:elara-samples:1.5,1,1,1,1,1
350,io.kevinlee:effectie-monix_2.13:1.8.1,1,1,0,0,0
351,org.nutz:nutzboot-starter-hystrix:2.4.2.v20201205,1,1,1,1,1
352,io.opentracing.contrib:opentracing-spring-cloud-zuul-starter:0.5.9,1,0,0,0,0
353,org.jbpm.contrib:execute-sql-workitem:7.49.0.Final,1,1,1,1,1
354,org.graphfoundation.ongdb.app:ongdb-server:3.6.1,0,0,0,0,0
355,io.chrisdavenport:vault_sjs1_3.0.0-M2:2.1.0-M7,1,0,0,0,0
356,com.github.gv2011:jacksonadapter:0.6,1,1,1,1,1
357,net.bull.javamelody:javamelody-spring-boot-starter:1.86.0,1,0,1,1,1
358,com.github.workerframework:worker-core:4.0.0-850,1,0,1,1,1
359,org.apache.camel.kafkaconnector:camel-elasticsearch-rest-kafka-connector:0.4.4,1,1,1,1,1
360,org.kodein.memory:kodein-memory-files:0.8.0,1,1,1,1,1
361,org.apache.hyracks:hyracks-storage-common:0.3.6,0,0,1,1,1
362,com.google.api.grpc:grpc-google-cloud-game-servers-v1:1.0.2,1,1,1,1,1
363,org.apache.karaf.decanter.appender:org.apache.karaf.decanter.appender.dropwizard:2.7.0,1,1,1,1,1
364,com.ieooc.nacos:nacos-test:1.4.1,1,0,1,1,1
365,com.github.timgent:data-flare_2.12:2.4.5_0.1.13,0,0,0,0,0
366,org.refcodes:refcodes-cli-ext-archetype:2.1.0,1,1,1,1,1
367,software.amazon.awssdk:secretsmanager:2.16.3,1,1,1,1,1
368,org.netbeans.modules:org-netbeans-modules-groovy-support:RELEASE121,1,0,1,1,1
369,net.databinder:dispatch-tagsoup_2.9.2:0.8.8,1,0,1,1,1
370,org.malagu.linq:linq:1.1.2.RELEASE,1,1,1,1,1
371,io.github.zanella.nomad:nomad-api:0.4,1,1,1,1,1
372,com.github.scalaprops:scalaprops-scalaz_sjs1_2.12:0.8.2,0,0,0,0,0
373,de.sciss:linkernighantsp_2.13:0.1.3,1,1,1,1,1
374,de.adorsys.psd2:aspsp-profile-server:8.3,1,0,1,1,1
375,com.github.jobservice:job-service-config:3.5.0-979,1,0,0,0,0
376,org.apache.camel.k:camel-k-kamelet-reify:1.6.0,1,0,1,1,1
377,com.amazonaws:aws-java-sdk-securityhub:1.11.870,1,1,1,1,1
378,org.eclipse.mylyn.docs:org.eclipse.mylyn.wikitext.tests:3.0.39,1,1,1,1,1
379,org.gwtproject.core:gwt-core:1.0.0-RC1,1,1,1,1,1
380,com.ejlchina:jsonkit-gson:1.0.0,1,1,1,1,1
381,io.opentelemetry.instrumentation:opentelemetry-jaeger-exporter-starter:1.0.1-alpha,1,0,1,1,1
382,org.xbib.helianthus:helianthus-client:1.0.5,1,1,1,1,1
383,org.jboss.pnc:bpm:2.0.2,1,0,1,1,1
384,org.factcast:factcast-factus-bin-snapser:0.3.9,1,0,1,1,1
385,org.apache.camel:camel-servletlistener-starter:2.25.3,1,0,1,1,1
386,red.zyc.toolkit:kit-mybatis:1.0.1,1,1,1,1,1
387,com.buschmais.jqassistant:commandline:1.2.0,0,0,0,0,0
388,org.eclipse.tycho.extras:tycho-buildtimestamp-jgit:2.2.0,1,1,1,1,1
389,net.welen.jmole:jmole-protocol-zabbix:1.5.4,1,1,1,1,1
390,org.springframework.boot:spring-boot-gradle-plugin:2.3.4.RELEASE,1,1,1,1,1
391,io.contek.tinker:rearm-yaml:2.0.4,1,0,1,1,1
392,com.itangcent:intellij-kotlin-support:0.7.9,1,0,1,1,1
393,com.github.eikek:bitpeace-core_2.13:0.7.0,1,0,1,1,1
394,com.github.oranda:libanius_2.12:0.9.8.7.2,1,0,1,1,1
395,org.dotwebstack.framework:example-postgres:0.3.3,1,0,1,1,0
396,com.imsweb:naaccr-xml:7.6,1,1,1,1,1
397,com.google.apis:google-api-services-androidpublisher:v3-rev20200916-1.30.10,1,1,1,1,1
398,org.bidib.jbidib:jbidibc-rxtx:1.12.9,1,0,1,1,1
399,cn.stylefeng.roses:monitor-spring-boot-starter:7.0.1,1,0,1,1,1
400,org.kie.workbench.stunner:kie-wb-common-stunner-bpmn-client:7.50.0.Final,1,0,1,1,1
401,com.hotels:circus-train-tool:16.3.3,1,0,1,1,1
402,com.github.kxbmap:configs_2.11:0.5.0,1,1,1,1,1
403,io.github.xyz-jphil.checksum:xyz-jphil-checksum:1.0,1,1,1,1,1
404,com.github.liuchink.hcutils:hcUtils-tencent:1.0.11.RELEASE,1,0,1,1,1
405,com.semanticcms:semanticcms-openfile-book:1.7.1,1,1,1,1,1
406,org.eclipse.ditto:ditto-signals-commands-thingsearch:1.2.0,1,1,1,1,1
407,com.thesamet.scalapb.common-protos:pgv-proto-scalapb_0.10_2.12:0.4.1-3,1,1,1,1,1
408,com.github.ivanovvlad9626:CheckingLib:1.1,1,0,1,1,1
409,org.scalameta:scalameta_2.12:4.4.1,1,0,1,1,1
410,com.github.japgolly.nyaya:nyaya-test_2.12:0.10.0-RC1,1,0,1,1,1
411,org.springframework.ws:spring-xml:2.2.2.RELEASE,1,0,1,1,1
412,io.cdap.plugin:core-plugins:2.5.0,1,1,1,1,1
413,com.gitlab.cdc-java.applic:cdc-applic-mountability:0.1.0,1,1,1,1,1
414,org.geckoprojects.emf:org.gecko.emf.utilities.query.model:1.0.12,1,0,1,1,1
415,com.lightstep.tracer:tracer-okhttp:0.25.0,1,1,1,1,1
416,com.lmaye:spring-boot-starter-data-encryption:1.0.4-RELEASE,1,0,1,1,1
417,pl.fhframework:pubsub-standalone:4.8.1,1,0,1,1,1
418,org.apache.camel.quarkus:camel-quarkus-aws2-eks-deployment:1.6.0,1,0,1,1,1
419,com.ohadr:common-crypto:2.1-RELEASE,1,0,1,1,1
420,com.github.anylogic:alogic-together:1.6.13,1,1,1,1,1
421,org.elasticsearch.plugin:transport-netty4-client:6.8.13,1,1,1,1,1
422,io.github.pityka:flatjoin-circe_2.13:0.0.15,1,0,1,1,1
423,com.lihaoyi:fansi_sjs1_3.0.0-RC1:0.2.11,1,1,1,1,1
424,com.github.cjhit:fdp-core:1.0.4,1,0,1,1,1
425,io.fabric8:docker-maven-plugin:0.15.1,1,0,1,1,1
426,org.eclipse.dirigible:dirigible-resources-jquery-ui:5.8.2,1,0,1,1,1
427,org.reaktivity:nukleus-http-cache.spec:0.103,1,1,1,1,1
428,org.netbeans.modules:org-netbeans-modules-j2ee-common:RELEASE121,1,0,1,1,1
429,com.google.cloud.trace.adapters.zipkin:autoconfigure-storage:0.2.0,1,0,1,1,1
430,org.arrahtec:profiler-core:6.1.7,1,0,1,1,1
431,com.daml:participant-state-kvutils-tools_2.12:1.11.0-snapshot.20210224.6385.0.dba114a2,0,0,0,0,0
432,org.specs2:specs2-junit_sjs1_2.11:4.10.5,1,0,1,1,1
433,org.webjars.npm:raw-loader:4.0.1,1,1,1,1,1
434,com.propensive:rapture-json-jackson_sjs0.6_2.11:2.0.0-M3,1,0,1,1,1
435,io.github.reactivecircus.blueprint:blueprint-interactor-rx3:1.15.0,1,0,1,1,1
436,org.apache.shardingsphere.elasticjob:elasticjob-lite-spring-namespace:3.0.0-beta,1,0,1,1,1
437,com.github.waffle:waffle-spring-boot-starter2:3.0.0,1,0,1,1,1
438,com.daveayan:mirage:1.1,1,1,1,1,1
439,com.spinoco:protocol-ldap_2.11:0.3.18-M8,1,1,1,1,1
440,com.softwaremill.sttp.client:httpclient-backend_0.26:3.0.0-RC2,1,0,1,1,0
441,org.tpolecat:natchez-lightstep-grpc_2.12:0.0.20,1,0,1,1,1
442,io.fabric8.kubeflix:ribbon-discovery:1.0.14,1,0,1,1,1
443,org.locationtech.geomesa:geomesa-redis-datastore_2.11:2.4.2,1,0,1,1,1
444,org.glassfish.main.batch:glassfish-batch-connector:6.0.0-RC3,1,0,1,1,1
445,io.scalaland:chimney_sjs1_2.12:0.6.1,1,1,1,1,1
446,com.github.618lf:swak-metrics:1.1.1_final,1,0,1,1,1
447,net.databinder:dispatch-jsoup_2.8.2:0.8.9,1,1,1,1,1
448,org.eclipse.pde:org.eclipse.pde.doc.user:3.14.1000,1,1,1,1,1
449,bio.singa:singa-structure:0.7.0,1,1,1,1,1
450,com.mob.push.sdk:mobpush-websdkv3-java:1.0.3,1,1,1,1,1
451,com.amazonaws:aws-java-sdk-resourcegroups:1.11.867,1,1,1,1,1
452,com.github.trickl:jackson.module.httpquery:1.0.4,1,1,1,1,1
453,org.commonjava.indy:indy-ftests-pkg-npm:2.5.3,0,0,0,0,0
454,com.twitter:util-function_2.12:20.12.0,1,1,1,1,1
455,org.smooks.cartridges.edi:d12b-edifact-binding:2.0.0-M2,1,1,1,1,1
456,io.youi:youi-communication_sjs1_2.13:0.13.17,1,0,1,1,1
457,org.opennms.alec.datasource:org.opennms.alec.datasource.opennms-common:1.1.1,1,1,1,1,1
458,net.exoego:aws-sdk-scalajs-facade-ssooidc_sjs1_2.13:0.32.0-v2.798.0,1,1,1,1,1
459,com.github.scopt:scopt_native0.4_2.11:4.0.0,1,0,1,1,1
460,com.expediagroup:beekeeper-metadata-cleanup:3.1.0,0,0,0,0,0
461,ml.dmlc:xgboost4j-spark_2.12:1.2.0,1,0,1,1,1
462,org.apache.zeppelin:zeppelin-zengine:0.9.0,1,0,1,1,1
463,com.github.rssh:dotty-cps-async_sjs1_3.0.0-M2:0.3.4-M2,1,0,1,1,0
464,org.opendaylight.genius:alivenessmonitor-impl-protocols:0.9.1,1,0,1,1,1
465,org.scalaz:scalaz-iteratee_2.11:7.2.31,1,1,1,1,1
466,org.wso2.carbon.mediation:org.wso2.carbon.mediation.dependency.mgt:4.7.64,1,0,1,1,1
467,com.ozwillo:ozwillo-java-spring-integration:1.25.3,1,0,1,1,1
468,io.github.cquiroz.react:react-semantic-ui_sjs1_2.13:0.7.1,1,0,1,1,1
469,network.oxalis:oxalis-server:5.0.0-RC3,1,0,1,1,1
470,org.kie:lienzo-core:7.45.0.t20201014,1,1,1,1,1
471,software.amazon.kinesis:amazon-kinesis-client-multilang:2.3.3,1,0,1,1,1
472,org.apache.hadoop:hadoop-yarn-server-tests:3.2.2,1,0,1,1,1
473,com.damavis:damavis-spark-core_2.12:0.3.1,1,1,1,1,1
474,org.akhikhl.gretty:gretty-runner-jetty9:1.1.5,1,0,1,1,1
475,org.apache.camel.quarkus:camel-quarkus-jasypt-deployment:1.7.0,1,0,1,1,1
476,com.google.cloud.broker:common:0.5.0,1,1,1,1,1
477,com.assertthat.plugins:assertthat-bdd-gradle-tasks:1.6,1,1,1,1,1
478,pl.wrzasq.parent:parent-lambda:1.2.3,1,0,1,1,1
479,ai.djl.spring:djl-spring-boot-starter-autoconfigure:0.6,1,0,1,1,1
480,org.nutz:nutzboot-starter-web3j:2.4.1.v20201014,1,0,1,1,1
481,com.kubukoz:slick-effect-catsio_2.13:0.4.0-M1,1,1,1,1,1
482,io.kotest:kotest-assertions-konform-metadata:4.3.1,1,1,1,1,1
483,com.github.ynfeng:atomix-utils:3.2.0-RELEASE,1,1,1,1,1
484,com.softwaremill.sttp.tapir:tapir-sttp-client_sjs1_2.13:0.17.16,1,0,1,1,1
485,net.sf.okapi.filters:okapi-filter-rainbowkit:1.41.0,1,0,1,1,1
486,com.redmadrobot.mapmemory:mapmemory-test:2.0-rc1,1,0,1,1,1
487,com.github.gitqiao:avocado-boot-starter-security:0.1.2,1,0,1,1,1
488,org.wso2.carbon.registry:org.wso2.carbon.registry.common:4.7.37,1,0,1,1,1
489,com.carrotsearch.elasticsearch-lingo3g.7.7.1.com.carrotsearch:elasticsearch-lingo3g:7.7.1,1,1,1,1,1
490,io.joyrpc:joyrpc-transport-netty4:1.4.2-RELEASE,1,0,1,1,1
491,com.hubspot:SingularityExecutor:1.4.0,1,0,1,1,1
492,org.graalvm.nativeimage:svm-diagnostics-agent:21.0.0.2,1,1,1,1,1
493,org.mongodb:mongodb-driver-legacy:4.2.0,1,1,1,1,1
494,io.quarkus:quarkus-jsch-deployment:1.9.2.Final,1,0,1,1,1
495,tz.co.asoft:auth-client-core-jvm:0.0.10,1,0,1,1,1
496,software.amazon.awssdk:cloudhsm:2.14.10,1,1,1,1,1
497,org.springframework.cloud.stream.app:cdc-debezium-source-kafka:1.0.4.RELEASE,0,0,1,1,0
498,de.dm.auth:activedirectory-spring-boot-starter:2.3.3,1,0,1,1,1
499,io.smallrye.reactive:smallrye-axle-web-client:1.2.2,1,1,1,1,1
500,io.quarkus:quarkus-documentation:1.11.4.Final,1,1,1,1,1
501,io.github.cquiroz.react:common_sjs1_2.13:0.11.1,1,0,1,1,1
502,org.kie:kie-pmml-models-mining-compiler:7.48.0.Final,1,0,1,1,1
503,org.extrema-sistemas:queue4gae:1.2,1,1,1,1,1
504,com.zhaofujun.nest:nest-plus-spring-boot-starter:2.2.1,1,0,1,1,1
505,org.keycloak:keycloak-jetty94-adapter:3.1.0.CR1,1,1,1,1,1
506,org.netbeans.modules:org-netbeans-modules-web-jsf-richfaces:RELEASE123,0,0,1,1,1
507,com.octomix.josson:josson:1.1.1,1,1,1,1,1
508,org.seppiko:commons-mail:1.0.1.RELEASE,1,1,1,1,1
509,org.springframework.cloud.stream.app:spring-cloud-starter-stream-processor-grpc:2.1.4.RELEASE,1,0,1,1,1
510,com.refinitiv.eta.ansi:ansipage:3.6.0.0,1,1,1,1,1
511,com.adobe.granite:com.adobe.granite.workflow.core:0.0.26,1,1,1,1,1
512,org.drools:drools-wb-guided-dtable-editor-client:7.47.0.Final,0,0,0,0,0
513,net.n2oapp.platform:n2o-platform-starter-jwt:4.2.5,1,0,1,1,1
514,com.github.yongyongwang:paas-swagger-starter:0.0.1,1,0,1,1,1
515,org.webjars.npm:cornerstone-wado-image-loader:3.1.2,1,1,1,1,1
516,top.dcenter:basic-detail-example:1.1.2,1,0,1,1,1
517,org.apache.camel.quarkus:camel-quarkus-cometd:1.1.0,1,0,1,1,1
518,org.toile-libre.libe:curl:0.0.39,1,1,1,1,1
519,io.kestros.commons:kestros-sling-ui-libraries-frontend:0.1.1,1,1,1,1,1
520,com.bazaarvoice.emodb:emodb-queue:6.3.1,0,0,0,0,0
521,com.truthbean.debbie:debbie-kafka:0.1.0-RELEASE,1,0,1,1,1
522,com.nu-art-software:local-storage:1.2.30,1,1,1,1,1
523,org.appsweaver.starter.oss-commons.spring:oss-commons-spring-web:1.3.4,0,0,1,1,1
524,net.exoego:aws-sdk-scalajs-facade-apigatewayv2_sjs1_2.12:0.32.0-v2.798.0,1,1,1,1,1
525,com.gitlab.cdc-java.util:cdc-util-compress:0.5.0,1,1,1,1,1
526,net.databinder:dispatch-nio_2.8.2:0.8.10,1,1,1,1,1
527,com.github.mizool.technology.typemapping.store:store-cassandra:0.31,1,0,1,1,1
528,nl.tvos.sdi4j:sdi4j-processor:1.0.5,1,1,1,1,1
529,org.openrewrite:rewrite-core:6.1.16,1,1,1,1,1
530,de.mhus.ports:ports-flummi:7.2.0,1,1,1,1,1
531,org.sonatype.nexus:nexus-ehcache:2.14.20-02,1,1,1,1,1
532,com.tomtom.speedtools:metrics:3.2.22,1,0,1,1,1
533,com.alkacon:geranium-client:2.0,1,0,1,1,1
534,org.jessma:jessma-ext-spring:3.5.1,1,0,1,1,1
535,com.gaborpihaj:mtg4s-inventory_2.13:0.1.2,1,1,1,1,1
536,org.apache.camel.quarkus:camel-quarkus-caffeine-lrucache-deployment:1.5.0,1,0,1,1,1
537,com.github.charlemaznable:guardians-general:0.6.11,1,0,1,1,1
538,org.apache.camel.quarkus:camel-quarkus-nitrite-deployment:1.2.0,1,0,1,1,1
539,com.ibeetl:act:3.0.0-M5,1,1,1,1,1
540,io.floodplain:replication-api:1.3.6,1,0,1,1,1
541,org.typelevel:discipline-specs2_2.12:1.1.4,1,0,1,1,1
542,org.apache.batchee:batchee-commons-csv:0.6,1,1,1,1,1
543,com.aliyun.phoenix:ali-phoenix-tracing-webapp:4.12.0-AliHBase-1.1-0.9.2,1,1,1,1,1
544,io.buoyant:marathon_2.12:1.2.0,1,0,1,1,1
545,me.xethh.libs:simplified-selenium-api-4-scala_2.13:1.0.0,1,1,1,1,1
546,org.codelibs.fesen.lib:fesen-cli:0.10.0,1,1,1,1,1
547,nl.basjes.parse.useragent:yauaa-flink:5.21,1,1,1,1,1
548,com.github.elvisnovoa:dynamodb-spring-boot-sample-app:1.0.0,1,0,1,1,0
549,org.iot-dsa:commons:0.24.1,1,1,1,1,1
550,org.apereo.cas:cas-server-support-mongo-monitor:5.3.16,0,0,1,1,1
551,org.connid.bundles:org.connid.bundles.openam:0.4,1,0,1,1,1
552,eu.hoefel:chemistry:1.0.0,1,1,1,1,1
553,software.amazon.awscdk:ecs-patterns:1.72.0,1,1,1,1,1
554,net.javapla.jawn:jawn-server-undertow:0.9.9,1,1,1,1,1
555,com.appmattus.fixture:fixture-kotest:1.1.0,1,0,1,1,0
556,org.planet42:laika-pdf_2.12:0.17.1,1,1,1,1,1
557,io.kevinlee:logger-f-scalaz-effect_3.0.0-M2:1.7.0,1,0,1,1,1
558,org.wildfly.core:wildfly-request-controller:14.0.0.Beta1,1,1,1,1,1
559,com.gitlab.cdc-java.util:cdc-util-graphs:0.7.0,1,1,1,1,1
560,online.sanen:mhdt-common:1.3.15,1,1,1,1,1
561,com.mantledillusion.metrics:trail-metrics-support-vaadin-8:1.0.0,1,1,1,1,1
562,net.jmatrix:jproperties:1.0.5,1,1,1,1,1
563,org.infinispan:infinispan-component-processor:12.0.1.Final,1,1,1,1,1
564,org.bitbucket.askllc.fermenter.stout:stout-spring-authentication:2.1.5,1,0,1,1,1
565,io.github.vigoo:zio-aws-pinpoint_2.12:3.16.14.2,1,0,1,1,1
566,com.tinkerpop:gremlin-driver:3.0.0.M3,1,0,1,1,1
567,org.springframework.statemachine:spring-statemachine-starter:2.4.0,1,0,1,1,1
568,org.scalatestplus:mockito-3-4_3.0.0-M3:3.2.3.0,1,0,1,1,1
569,org.bremersee:bremersee-sms:1.0.2,1,1,1,1,1
570,com.hotels:circus-train-tool-core:16.3.0,1,0,1,1,1
571,org.redisson:redisson-mybatis:3.13.6,1,1,1,1,1
572,com.activitystream:as-sdk:0.1.12,1,1,1,1,1
573,com.simplyti.cloud:simple-server-di-guice:0.0.4-rc22,1,0,1,1,1
574,com.github.yaoguoh:common-swagger:2.4.3,1,0,1,1,1
575,org.overturetool.core:interpreter:3.0.2,1,1,1,1,1
576,org.wso2.carbon.analytics:org.wso2.carbon.siddhi.extensions.installer.core:3.0.49,1,0,1,1,1
577,com.intel.analytics.bigdl:dist-spark-3.0.0-scala-2.12.10-all:0.12.1,1,1,1,1,1
578,com.tethys-json:tethys-json4s_2.12:0.22.0,1,1,1,1,1
579,com.aspectran:aspectran-embed:6.9.6,1,1,1,1,1
580,com.github.scalaprops:scalaprops-shapeless_2.13:0.4.0,1,1,1,1,1
581,com.j2mvc:j2mvc-framework-app:2.1.11,1,1,1,1,1
582,org.xwiki.commons:xwiki-commons-text:12.10,1,1,1,1,1
583,com.gitee.summer9102:develop-spring-boot-common:1.1.0,1,1,1,1,1
584,io.buoyant:namerd-iface-interpreter-thrift_2.12:1.3.4,1,0,1,1,1
585,io.gatling:gatling-http-client:3.4.1,1,0,1,1,1
586,org.apache.camel.quarkus:camel-quarkus-aws-sqs-deployment:1.3.0,1,0,1,1,1
587,org.apache.camel.kafkaconnector:camel-kubernetes-pods-kafka-connector:0.8.0,1,0,1,1,1
588,de.adorsys.psd2.sandbox:oba-rest-api:5.4,1,0,1,1,1
589,ch.epfl.scala:bloop-config_sjs1_2.12:1.4.4-13-408f4d80,1,1,1,1,1
590,org.apache.camel:camel-testcontainers:3.4.4,1,1,1,1,1
591,io.ray:ray-api:1.2.0,1,0,1,1,1
592,net.databinder:dispatch-http-json_2.8.2:0.7.8,1,1,1,1,1
593,io.dropwizard.metrics5:metrics-logback:5.0.0-rc4,1,1,1,1,1
594,com.github.tkrs:fluflu-core_2.12:0.24.2,1,0,1,1,1
595,io.snappydata:snappy-spark-graphx_2.10:1.6.2-2,1,0,1,1,1
596,io.github.zxgangandy:base-eureka:1.0.7,1,0,1,1,1
597,net.exoego:aws-sdk-scalajs-facade-core_sjs1_2.12:0.32.0-v2.798.0,1,1,1,1,1
598,org.apache.camel.quarkus:camel-quarkus-grok:1.6.0,1,0,1,1,1
599,org.robolectric:robolectric-processor:3.4-rc1,1,0,1,1,1
600,org.webjars.npm:uppy__utils:3.2.5,1,1,1,1,1
601,de.mhus.lib:lib-annotations:7.3.0,1,1,1,1,1
602,com.github.dblock.waffle:waffle-jna:1.5,1,1,1,1,1
603,org.idpf:epubcheck:v4.0.0-alpha6,1,1,1,1,1
604,org.kie.workbench:kie-wb-common-ala-provisioning-pipelines-openshift:7.46.0.Final,0,0,1,1,1
605,org.apache.activemq.examples.clustered:clustered-static-discovery:2.15.0,1,0,1,1,1
606,com.alibaba.middleware:termd-core:1.1.7.11,1,1,1,1,1
607,org.openmuc.framework:openmuc-webui-channelaccesstool:0.19.0,1,1,1,1,1
608,com.seepine:wechat-spring-boot-starter:1.1.0,1,0,1,1,1
609,org.netbeans.api:org-netbeans-api-intent:RELEASE123,1,1,1,1,1
610,com.indoqa.solr:indoqa-solr-configuration-utils:6.6.5,1,0,1,1,1
611,org.kie:kie-pmml-models-mining-evaluator:7.50.0.t20210209,1,1,1,1,1
612,com.netflix.servo:servo-graphite:0.4.27,1,1,1,1,1
613,org.caseine:caseine.vpl.tests.EntreeEtSortieStandards:0.0.41,1,1,1,1,1
614,io.udash:udash-css_2.13:0.9.0-M8,1,0,1,1,1
615,com.github.splunk.lightproto:lightproto-code-generator:0.3,1,0,1,1,1
616,org.apache.tephra:tephra-hbase-compat-1.6:0.16.0,1,0,1,1,1
617,org.kodein.db:kodein-leveldb-api-jvm:0.6.1-beta,1,0,1,1,1
618,com.alachisoft:nc-pro-serialization:5.2-alpha-26,1,0,1,1,1
619,org.specs2:specs2-gwt_sjs1_2.13:4.10.6,1,0,1,1,1
620,org.typelevel:cats-kernel_native0.4_2.13:2.4.1,1,0,1,1,1
621,com.github.yaoguoh:common-util:2.3.3.RELEASE,1,0,1,1,1
622,org.typelevel:jawn-ast_2.12:1.1.0,1,1,1,1,1
623,org.openidentityplatform.commons.guice:servlet:2.0.8,1,1,1,1,1
624,org.scala-lang.modules:scala-collection-contrib_2.13:0.2.2,1,1,1,1,1
625,org.jboss.pnc:test-common:2.0.1,1,0,1,1,1
626,lk.chathurabuddi:json-schema-filter:1.1.0,1,1,1,1,1
627,org.netbeans.modules:org-netbeans-modules-html-editor-lib:RELEASE123,1,0,1,1,1
628,com.semanticcms:semanticcms-section-taglib:1.8.0,1,1,1,1,1
629,com.arkondata:opentracing-effect_2.13:0.2.1,1,1,1,1,1
630,com.io7m.minisite:com.io7m.minisite.core:3.0.0,1,1,1,1,1
631,org.bremersee:common-base-webmvc-starter:2.3.0,1,0,1,1,1
632,com.github.eugeniyk:api-counters_2.11:0.3.3,1,1,1,1,1
633,net.officefloor.persistence:officejdbc_postgresql:3.28.2,1,0,1,1,1
634,org.eclipse.dirigible:dirigible-template-application-dao:5.4.0,1,0,1,1,1
635,com.liferay.faces.demo:com.liferay.faces.demo.showcase.common:3.1.0,1,1,1,1,1
636,org.onosproject:onos-apps-gangliametrics:1.7.1,1,0,1,1,1
637,com.softwaremill.sttp.tapir:tapir-sttp-client_2.12:0.17.0-M3,1,0,1,1,1
638,com.github.jazng:jfunctional:0.0.1-RELEASE,1,0,1,1,1
639,com.hmsonline:dropwizard-spring:0.5.3,1,0,1,1,1
640,org.apache.aries.rsa.itests:org.apache.aries.rsa.itests.felix:1.16.0,1,0,1,1,1
641,net.filebot:ant-spk:0.7,1,1,1,1,1
642,net.exoego:aws-sdk-scalajs-facade-networkmanager_sjs1_2.12:0.32.0-v2.798.0,1,1,1,1,1
643,com.lihaoyi:ammonite-interp-api_2.12.12:2.2.0-26-61ee0965,1,0,1,1,1
644,com.alibaba.citrus.tool:docbook-maven-plugin:1.1,1,1,1,1,1
645,org.bardframework.filestore:file-store-api:0.4,1,0,1,1,1
646,com.sourceninja:sourceninja-maven-plugin:0.1.7,1,0,1,1,1
647,org.webjars.npm:node-fetch:3.0.0-beta.9,1,1,1,1,1
648,io.univalence:zio-spark_2.12:0.0.2,1,0,1,1,1
649,com.toasttab.protokt:protokt-extensions:0.5.4,1,0,1,1,1
650,com.typesafe.akka:akka-persistence-cassandra-launcher_2.13:1.0.5,0,0,1,1,0
651,com.github.ghostdogpr:caliban-tools_2.12:0.9.4,0,0,0,0,0
652,pl.droidsonroids.retrofit2:converter-jspoon:1.0.0,1,1,1,1,1
653,org.kie.kogito:integration-tests-quarkus-predictions:1.3.0.Final,1,0,1,1,1
654,com.helger.phive.rules:phive-rules-teapps:2.0.3,1,0,1,1,1
655,com.aliyun:aiccs20191015:1.1.6,1,0,1,1,1
656,one.xingyi:sample_2.12:0.7.4,1,1,1,1,1
657,com.github.thierrysquirrel:codec:1.1.2-RELEASE,1,1,1,1,1
658,org.json4s:json4s-jackson_2.9.3:3.2.8,1,0,1,1,1
659,be.venneborg:slick-refined_2.13:0.6.0,1,0,1,1,1
660,io.github.stefanfreitag:cdkBudgetNotifier:0.0.3,1,1,1,1,1
661,org.redisson:redisson-mybatis:3.15.1,1,1,1,1,1
662,com.twitter:inject-server_2.13:20.10.0,1,0,1,1,1
663,com.thesamet.scalapb.grpcweb:scalapb-grpcweb-code-gen_3.0.0-RC1:0.6.0,1,0,1,1,1
664,dev.marksman:kraftwerk:0.9.1,1,1,1,1,1
665,org.scala-js:scalajs-ir_sjs1_2.13:1.3.1,1,1,1,1,1
666,com.aliyun:ros-cdk-ros:1.0.0,1,1,1,1,1
667,com.lihaoyi:mill-contrib-scoverage_2.13:0.9.5-13-706547,1,1,1,1,1
668,org.apache.camel.springboot:camel-aws-lambda-starter:3.6.0,1,0,1,1,1
669,com.twitter:finatra-http-annotations_2.13:20.12.0,1,0,1,1,1
670,org.jbehave:jbehave-ant:4.3.2,1,1,1,1,1
671,io.ultreia.java4all.jaxx:jaxx-widgets-number:3.0-alpha-83,1,0,1,1,1
672,com.aliyun:aliyun-java-sdk-ehpc:1.14.1,1,1,1,1,1
673,me.shadaj:slinky-web_sjs0.6_2.13:0.6.6+12-3b63ddf1,1,0,1,1,1
674,de.joshuagleitze:atrium-gradle-testkit-translation-en:1.0.0,1,0,1,1,0
675,org.wso2.carbon.analytics-common:org.wso2.carbon.event.template.manager.ui:5.2.34,1,0,1,1,0
676,dev.zio:izumi-reflect-thirdparty-boopickle-shaded_native0.4_2.13:1.0.0-M13,1,0,1,1,1
677,org.openmuc.framework:openmuc-driver-csv:0.19.0,1,1,1,1,1
678,org.apache.camel:camel-spring-redis:3.4.4,1,0,1,1,1
679,org.janusgraph:janusgraph-driver:0.5.3,1,1,1,1,1
680,com.sdl.delivery:udp-data-legacy-transport:11.0.1-1020,1,0,1,1,0
681,org.jetbrains:markdown-metadata:0.2.0,1,1,1,1,1
682,com.github.kynthus:sbtscala11_2.13:0.1.5,1,0,1,1,0
683,io.smallrye.reactive:mutiny-documentation:0.12.5,1,0,1,1,0
684,com.amazon.alexa:ask-sdk-model-runtime:1.0.5,1,1,1,1,1
